
Textbox3,Textbox1,TOWARY_I_USŁUGI_KONSUMPCYJNE,KOD_WOJ,ROK_KW_NARAST1,WARTOSC_OST_blok6
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POLSKA,2019 I-III,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POLSKA,2019 I-VI,"101,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POLSKA,2019 I-IX,"102,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POLSKA,2019 I-XII,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POLSKA,2020 I-III,"104,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POLSKA,2020 I-VI,"103,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,DOLNOŚLĄSKIE,2019 I-III,"100,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,DOLNOŚLĄSKIE,2019 I-VI,"101,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,DOLNOŚLĄSKIE,2019 I-IX,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,DOLNOŚLĄSKIE,2019 I-XII,"102,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,DOLNOŚLĄSKIE,2020 I-III,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,DOLNOŚLĄSKIE,2020 I-VI,"103,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,KUJAWSKO-POMORSKIE,2019 I-III,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,KUJAWSKO-POMORSKIE,2019 I-VI,"101,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,KUJAWSKO-POMORSKIE,2019 I-IX,"102,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,KUJAWSKO-POMORSKIE,2019 I-XII,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,KUJAWSKO-POMORSKIE,2020 I-III,"104,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,KUJAWSKO-POMORSKIE,2020 I-VI,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBELSKIE,2019 I-III,"101,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBELSKIE,2019 I-VI,"101,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBELSKIE,2019 I-IX,"102,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBELSKIE,2019 I-XII,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBELSKIE,2020 I-III,"104,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBELSKIE,2020 I-VI,"103,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBUSKIE,2019 I-III,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBUSKIE,2019 I-VI,"102,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBUSKIE,2019 I-IX,"102,4"
