radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,340,2,1009,13103,0,-61.549301,16.244065,2379,15,1,1459787898,1480969697,0
GSM,340,2,1009,17393,0,-61.540447,16.26261,1790,35,1,1459787898,1490801766,0
UMTS,340,1,37126,438228,0,-62.850723,17.895846,1000,7,1,1342531591,1342531591,0
UMTS,340,1,37126,438379,0,-62.824974,17.905655,1000,4,1,1342502378,1342502378,0
GSM,340,1,37122,40161,0,-62.815017700195,17.912521362305,1000,6,1,1342536306,1342536306,0
GSM,340,1,37122,40162,0,-62.815017700195,17.912521362305,1000,3,1,1342483706,1342483706,0
GSM,340,1,37122,40032,0,-62.815017700195,17.912521362305,1000,3,1,1342483706,1342483706,0
GSM,340,1,37122,65535,0,-62.815017700195,17.912521362305,1000,4,1,1342536306,1342536306,0
UMTS,340,1,37126,438377,0,-62.815017700195,17.912521362305,1000,2,1,1342483875,1342483875,0
GSM,340,1,37122,40165,0,-62.815017700195,17.912521362305,1000,1,1,1342536306,1342536306,0
GSM,340,1,37122,40330,0,-62.815017700195,17.912521362305,1000,1,1,1342536306,1342536306,0
GSM,340,1,37122,40091,0,-62.815017700195,17.912521362305,1000,1,1,1342536306,1342536306,0
UMTS,340,1,37895,80627,0,-61.260452270508,16.268692016602,1000,2,1,1345008567,1345008567,0
UMTS,340,20,101,20391812,0,-61.391106,16.224794,1000,115,1,1347366140,1492437445,0
UMTS,340,20,101,20391814,0,-61.401817,16.222265,1000,114,1,1347366140,1492437445,0
UMTS,340,2,2010,141133,0,-61.079178,14.626074,1000,34,1,1349011712,1452089915,0
GSM,340,2,2010,10911,0,-61.079178,14.625844,1000,7,1,1348992862,1348992862,0
GSM,340,2,2009,10911,0,-61.080239,14.628858,3638,22,1,1349011712,1458148121,0
UMTS,340,2,2009,141133,0,-61.079178,14.625961,1000,10,1,1349022975,1349022975,0
UMTS,340,1,37896,146395,0,-61.588777,16.254345,1000,38,1,1352553651,1448606362,0
GSM,340,20,102,11381,0,-61.516971,16.266917,1387,96,1,1356284506,1525454360,0
GSM,340,20,102,10210,0,-61.52473,16.260481,1135,106,1,1356284506,1492540200,0
GSM,340,20,102,10780,0,-61.523314,16.259574,1424,61,1,1356284506,1490827640,0
GSM,340,20,102,10200,0,-61.52818,16.257514,1451,43,1,1356284506,1491649742,0
UMTS,340,20,102,20392482,0,-61.527349,16.250506,3876,239,1,1356284515,1492540200,0
GSM,340,20,102,10193,0,-61.530629,16.265729,2002,38,1,1356310961,1489664679,0
GSM,340,20,102,10190,0,-61.519443,16.26537,3426,93,1,1356310961,1491649742,0
UMTS,340,20,102,20391902,0,-61.536534,16.253587,1168,105,1,1356310961,1492540200,0
UMTS,340,20,102,20393083,0,-61.522726,16.268467,1179,55,1,1356310961,1492338628,0
UMTS,340,20,102,20391933,0,-61.51171,16.270793,1000,100,1,1356310961,1491145008,0
UMTS,340,20,102,20391934,0,-61.51329,16.275733,1000,126,1,1356310961,1491491227,0
UMTS,340,20,102,20391932,0,-61.506062,16.282658,1000,59,1,1356310961,1491145003,0
UMTS,340,20,102,20391973,0,-61.496937,16.298122,1047,40,1,1356310961,1506359965,0
UMTS,340,20,101,20391964,0,-61.457949,16.290751,4720,16,1,1356310961,1491144833,0
UMTS,340,20,102,20391942,0,-61.497849,16.291718,1326,30,1,1356310961,1488900196,0
UMTS,340,20,102,20391974,0,-61.492192,16.305791,2217,57,1,1356310961,1506369500,0
UMTS,340,20,102,20391972,0,-61.485234,16.311941,1607,69,1,1356310961,1491144997,0
GSM,340,20,102,10270,0,-61.476464,16.320314,1000,61,1,1356310961,1492112334,0
UMTS,340,20,101,20391984,0,-61.467768,16.326192,1000,54,1,1356310967,1491144997,0
GSM,340,20,101,10282,0,-61.468808,16.325261,2163,36,1,1356310967,1561456823,0
UMTS,340,20,101,20391983,0,-61.459614,16.333063,1119,79,1,1356310967,1492202786,0
GSM,340,20,101,10281,0,-61.455001,16.340019,1254,42,1,1356310967,1561456583,0
GSM,340,20,101,10283,0,-61.459597,16.358043,1894,79,1,1356310967,1491144956,0
UMTS,340,20,101,20391982,0,-61.458833,16.34688,1137,46,1,1356310967,1491144956,0
GSM,340,20,101,12130,0,-61.458088,16.363558,4443,151,1,1356310967,1492202786,0
GSM,340,20,101,10301,0,-61.467523,16.37114,1217,65,1,1356310967,1491144956,0
GSM,340,20,101,10280,0,-61.459378,16.346919,2369,253,1,1356310967,1561456463,0
UMTS,340,20,101,20392803,0,-61.469113,16.41125,1943,52,1,1356310967,1485631454,0
UMTS,340,1,37894,147273,0,-61.764123,16.124304,66916,957,1,1358435586,1491799284,0
UMTS,340,1,37894,146325,0,-61.770179,16.129942,21925,198,1,1358435586,1491799284,0
UMTS,340,1,37894,146324,0,-61.770599,16.102856,2417,467,1,1358435586,1492320423,0
UMTS,340,1,37894,147274,0,-61.771671,16.123478,1793,89,1,1358435586,1460482772,0
UMTS,340,1,37894,146323,0,-61.760687,16.064494,7136,299,1,1358435586,1480267143,0
UMTS,340,1,37894,148285,0,-61.765066,16.079088,1401,107,1,1358435586,1478360333,0
UMTS,340,1,37894,148284,0,-61.763212,16.060591,2073,234,1,1358435592,1484326419,0
UMTS,340,1,37894,147255,0,-61.758597,16.047397,2575,934,1,1358435592,1489171112,0
UMTS,340,1,37894,146725,0,-61.754837,16.041144,1599,138,1,1358435592,1358593730,0
UMTS,340,1,37894,146728,0,-61.755476,16.042049,1793,247,1,1358435592,1460482777,0
UMTS,340,1,37894,147254,0,-61.749445,16.035493,3697,216,1,1358435592,1481811894,0
UMTS,340,1,37894,146724,0,-61.743793,16.019147,3616,302,1,1358435592,1537904922,0
UMTS,340,1,37894,146727,0,-61.7459,16.021088,2098,187,1,1358435592,1428531451,0
UMTS,340,1,37894,146088,0,-61.74145,16.010149,1008,226,1,1358435592,1489874941,0
UMTS,340,1,37894,146085,0,-61.734818,16.008596,68000,422,1,1358435592,1488399835,0
UMTS,340,1,37894,146726,0,-61.758311,16.045896,1000,17,1,1358435597,1460482777,0
UMTS,340,1,37894,146087,0,-61.727971,15.998359,1000,48,1,1358435608,1505852067,0
UMTS,340,1,37894,148215,0,-61.724536,16.002211,1000,109,1,1358435608,1443635343,0
UMTS,340,1,37894,148218,0,-61.726389,16.002856,1527,151,1,1358435608,1488306181,0
UMTS,340,1,37894,147915,0,-61.742821,16.047936,1575,4,1,1358435636,1491889157,0
UMTS,340,1,37894,147215,0,-61.73238,15.995811,1306,17,1,1358435636,1491717074,0
UMTS,340,1,37894,146945,0,-61.734671,15.999455,1000,19,1,1358435636,1489305399,0
UMTS,340,1,37894,146084,0,-61.728971,15.997324,1000,91,1,1358435636,1461066337,0
UMTS,340,1,37894,146944,0,-61.731384,15.995235,1000,17,1,1358435636,1505852094,0
UMTS,340,1,37894,146086,0,-61.755173,16.042211,4927,49,1,1358435641,1488306140,0
UMTS,340,1,37894,146083,0,-61.727371,16.007938,1000,8,1,1358435641,1489115841,0
UMTS,340,1,37894,147914,432,-61.742009,16.041246,4005,48,1,1358435641,1577442369,0
GSM,340,1,37892,10013,0,-61.743584,16.011893,4062,1997,1,1358435647,1584162769,0
GSM,340,1,37892,11182,0,-61.74287,16.021416,8735,754,1,1358435647,1584368810,0
UMTS,340,1,37894,146723,0,-61.736679,16.0075,3228,36,1,1358435647,1460482777,0
UMTS,340,1,37894,148283,0,-61.73616,16.008591,5468,15,1,1358435647,1488306140,0
GSM,340,1,37892,10652,0,-61.738779,16.020053,3304,1999,1,1358435647,1590756739,0
UMTS,340,20,102,20393983,0,-61.585464,16.015091,1000,21,1,1361553562,1491321102,0
GSM,340,1,37892,10611,0,-61.597631,16.011472,15695,502,1,1361553562,1581705740,0
GSM,340,20,102,11182,0,-61.593232,16.007767,1412,31,1,1361553562,1491321107,0
GSM,340,20,102,12281,0,-61.594115,16.006559,2366,58,1,1361553562,1491321107,0
