"Kod";"Nazwa";"razem;2002;[-]";"razem;2003;[-]";"razem;2004;[-]";"razem;2005;[-]";"razem;2006;[-]";"razem;2007;[-]";"razem;2008;[-]";"razem;2009;[-]";"razem;2010;[-]";"razem;2011;[-]";"razem;2012;[-]";"razem;2013;[-]";"razem;2014;[-]";"razem;2015;[-]";"razem;2016;[-]";"razem;2017;[-]";
0000000;"POLSKA";359486;365230;363522;368285;369686;377226;379399;384940;378478;375501;384788;387312;376467;394921;388009;;
0200000;"DOLNOŚLĄSKIE";27456;27962;28402;28603;29082;29815;30464;30872;29721;29396;30446;30498;29910;31540;30566;;
0201000;"Powiat bolesławiecki";753;759;780;819;744;810;818;873;818;758;901;828;816;870;889;;
0202000;"Powiat dzierżoniowski";1116;1155;1125;1209;1142;1194;1257;1330;1228;1191;1235;1286;1193;1299;1236;;
0203000;"Powiat głogowski";634;642;649;634;652;734;673;667;666;694;739;750;717;730;785;;
0204000;"Powiat górowski";342;367;328;331;337;371;320;415;372;351;357;367;335;411;384;;
0205000;"Powiat jaworski";544;517;525;496;556;568;539;611;530;526;579;563;543;622;566;;
0206000;"Powiat jeleniogórski";614;646;687;720;686;663;800;785;753;740;725;751;709;744;804;;
0207000;"Powiat kamiennogórski";491;509;499;515;496;519;544;517;492;500;539;542;532;555;477;;
0208000;"Powiat kłodzki";1881;1887;1907;1930;1890;2023;1976;1979;1997;1964;1980;1983;1932;2054;2015;;
0209000;"Powiat legnicki";511;559;537;593;533;527;543;535;601;540;653;613;594;567;589;;
0210000;"Powiat lubański";564;589;588;635;603;602;645;678;542;636;587;653;636;590;575;;
0211000;"Powiat lubiński";733;763;709;787;828;821;825;834;861;840;949;971;880;955;980;;
0212000;"Powiat lwówecki";575;552;563;554;603;552;598;553;517;525;516;564;533;543;524;;
0213000;"Powiat milicki";326;327;348;329;317;369;359;369;381;355;341;346;365;397;362;;
0214000;"Powiat oleśnicki";850;872;892;889;945;906;954;1012;967;952;976;1006;927;959;983;;
0215000;"Powiat oławski";552;598;591;595;539;653;639;660;649;682;622;629;667;665;675;;
0216000;"Powiat polkowicki";477;470;511;489;498;474;519;535;570;504;537;528;544;603;596;;
0217000;"Powiat strzeliński";460;435;461;452;453;483;482;501;457;481;500;487;473;522;490;;
0218000;"Powiat średzki";470;442;453;520;541;552;528;524;504;529;491;486;463;550;492;;
0219000;"Powiat świdnicki";1562;1569;1610;1557;1602;1738;1792;1669;1665;1601;1758;1715;1774;1743;1718;;
0220000;"Powiat trzebnicki";700;711;727;743;743;764;786;792;779;708;756;771;739;751;718;;
0221000;"Powiat wałbrzyski";639;2160;2332;2207;2351;2345;2363;2275;2292;2265;2343;704;708;771;729;;
0222000;"Powiat wołowski";458;492;478;454;481;502;544;495;469;561;503;510;470;577;491;;
0223000;"Powiat wrocławski";830;893;879;893;852;969;998;929;924;922;982;922;945;989;1040;;
0224000;"Powiat ząbkowicki";800;817;772;769;764;741;829;774;808;772;806;823;781;834;840;;
0225000;"Powiat zgorzelecki";944;939;988;992;1008;976;1021;1014;964;943;1003;996;1063;1081;1041;;
0226000;"Powiat złotoryjski";470;455;405;435;492;481;481;543;417;457;464;489;412;504;447;;
0261000;"Powiat m.Jelenia Góra";908;875;951;912;1023;944;968;1049;1052;1005;1021;1012;985;991;1004;;
0262000;"Powiat m.Legnica";987;972;1003;1053;999;1063;1121;1078;1049;1073;1096;1103;1092;1155;1059;;
0263000;"Powiat m.Wałbrzych do 2002";1505;;;;;;;;;;;;;;;;
0264000;"Powiat m.Wrocław";5760;5990;6104;6091;6404;6471;6542;6876;6397;6321;6487;6501;6506;6896;6460;;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;;;;1599;1576;1612;1597;;
0400000;"KUJAWSKO-POMORSKIE";19036;19241;19129;19411;19622;20327;20027;20389;20453;19663;20436;20485;20028;20523;20525;;
0401000;"Powiat aleksandrowski";611;592;636;657;589;630;609;626;612;636;640;598;641;628;649;;
0402000;"Powiat brodnicki";707;716;685;735;680;729;744;759;758;693;709;693;676;773;745;;
0403000;"Powiat bydgoski";723;701;760;763;729;794;849;799;811;795;818;862;788;819;837;;
0404000;"Powiat chełmiński";479;461;467;497;509;536;477;518;503;456;480;504;501;491;485;;
0405000;"Powiat golubsko-dobrzyński";390;405;368;405;408;410;379;445;423;432;451;437;387;421;440;;
0406000;"Powiat grudziądzki";376;377;361;372;339;350;358;353;311;357;353;347;344;371;356;;
